Feature	Gain	Cover	Frequency
ctrx_quarter	0.147370471219096	0.0223228592931523	0.00457726865418614
mdescubierto_preacordado_delta1	0.0727020493052799	0.00369375105174501	0.00105349834104284
mcaja_ahorro	0.0612589562599145	0.017821991724105	0.00538858346855247
mcuentas_saldo	0.0507125852514303	0.0181659501151511	0.00887602625269429
mtarjeta_visa_consumo	0.03137107475836	0.0164841586285776	0.00294252984911966
Visa_status	0.0284071947666568	0.00263288871485859	0.000980843283039888
foto_mes	0.0270520654613997	0.0170356303362341	0.0129568186771936
Visa_Finiciomora	0.0170915661847937	0.00916340663948265	0.00221597926909012
mprestamos_personales	0.0163316818118026	0.0149111253169215	0.00594560557990845
Visa_mpagominimo	0.0140548122716257	0.014384238296965	0.00425032089317285
cpayroll_trx	0.013578567832124	0.0198516103966257	0.00191324986074447
ctarjeta_visa_transacciones	0.0132202039807403	0.0160020179454596	0.00351166113680947
mpayroll	0.011321508285342	0.0207989895868032	0.00276089220411228
ctrx_quarter_delta1	0.00884880864967305	0.00957978567759177	0.00952992177472088
ccomisiones_otras	0.00785620765473388	0.00138151773525401	0.00333002349180209
mcuenta_corriente	0.00691794514301753	0.00490035618110561	0.00593349640357463
ctarjeta_visa	0.0068566998600324	0.00357307071067119	0.000581240464023637
mprestamos_personales_delta1	0.00665750021640108	0.0117361679428699	0.00513429076554213
Visa_mpagospesos	0.0053157155354236	0.00291486508163237	0.00289409314378436
mactivos_margen	0.00501957474501711	0.0084560120167277	0.00778620038264997
mcaja_ahorro_lag1	0.00472234771992435	0.00432737493058576	0.00491632559153327
mcuentas_saldo_delta1	0.00455740077577032	0.00638771210948681	0.00655106439659974
mdescubierto_preacordado_lag1	0.00451987932558356	0.001006602585442	0.00130779104405318
cproductos_delta1	0.00450124528149776	0.00994727240967574	0.00253081785376959
mautoservicio	0.00433641102399597	0.0122614200332025	0.00187692233174299
ccaja_ahorro	0.00430330500865306	0.00719429767332232	0.00289409314378436
cproductos	0.00404010194238488	0.0073503381934072	0.00417766583516989
cliente_edad_lag1	0.00388499861602931	0.00534572594992941	0.00804049308566031
mcuenta_corriente_lag1	0.00380585021757535	0.00270835513173929	0.00594560557990845
cprestamos_personales_delta1	0.00371142924909584	0.0022827125765066	0.00077498728536485
Visa_fechaalta	0.00363982463668172	0.0024774032777203	0.00480734300452883
mrentabilidad_annual_lag1	0.00358860435826295	0.00311304364669832	0.006672156159938
cliente_edad	0.00357417384510944	0.00696020332174481	0.0082221307306677
mprestamos_personales_lag1	0.00336932220521719	0.00215655914485622	0.00273667385144462
mrentabilidad_annual_delta1	0.00320221955446633	0.00324020338256788	0.00712019568428956
mdescubierto_preacordado	0.00307401540817014	0.0037874441433045	0.00227652515075925
numero_de_cliente	0.00294618546595041	0.00955105323722193	0.00745925262163668
ccaja_ahorro_delta1	0.00281682644280787	0.00901682613441567	0.00146521033639292
Visa_delinquency	0.00281360586152409	0.00200084489730278	0.000351166113680947
mrentabilidad_annual	0.00278623969079865	0.00241520335375413	0.00596982393257611
Visa_mfinanciacion_limite	0.00275275923523424	0.0021412138448	0.00449250441984936
mcuenta_corriente_delta1	0.00265753541524264	0.00328073230597745	0.00481945218086266
Visa_Fvencimiento_lag1	0.00261829933945137	0.00155027207825482	0.00535225593955099
mrentabilidad	0.00257430601055117	0.00178043122640642	0.00535225593955099
mcaja_ahorro_dolares_delta1	0.00255843453972022	0.00662761872819849	0.00449250441984936
chomebanking_transacciones	0.00252598363938951	0.00307866837010695	0.00463781453585527
Master_fechaalta	0.00248889798999197	0.00227556972592666	0.00504952653120535
mcuentas_saldo_lag1	0.00248861141605801	0.00183720411562924	0.00481945218086266
Master_Fvencimiento_lag1	0.00246804606672288	0.00189359114299655	0.0058729505219055
ctrx_quarter_lag1	0.00246336712955567	0.00210194500479082	0.00400813736649633
cprestamos_personales	0.00246284423223169	0.00344279344600919	0.00176793974473856
Visa_fechaalta_lag1	0.0024590395870954	0.00197209776942349	0.00481945218086266
mactivos_margen_lag1	0.00241542459937267	0.00303049407347254	0.00471046959385823
Visa_msaldopesos	0.00241305104969643	0.0041970391257075	0.00295463902545349
Master_fechaalta_lag1	0.00238111551598434	0.00410097683396226	0.00503741735487152
mes	0.00235008388256859	0.00724395236599893	0.00478312465186118
mcomisiones_mantenimiento	0.0023459390342392	0.00683373243006865	0.00416555665883607
mpasivos_margen	0.00231236215449097	0.00215039406276281	0.00458937783051997
Master_Finiciomora	0.00230265356106459	0.0048265895287119	0.00157419292339735
mcomisiones_otras	0.00229573314157703	0.00272234603360227	0.00414133830616841
Visa_Fvencimiento	0.00229370930669592	0.00185518813166969	0.00541280182122012
Visa_fultimo_cierre	0.00226618240941209	0.00376475351485944	0.00354798866581095
cpayroll_trx_lag1	0.00224597396760987	0.00253351323571283	0.000532803758688334
Master_Fvencimiento	0.00214388515545422	0.0012555508349737	0.00451672277251701
mcaja_ahorro_delta1	0.0021187920869501	0.0030107647616658	0.00426243006950667
Visa_status_lag1	0.00211812690191288	0.000802678581409896	0.000339056937347122
mpayroll_delta1	0.00207002176881904	0.00872654912167383	0.0030999491414594
Master_mfinanciacion_limite	0.00206403923065899	0.00252353317794946	0.00399602819016251
Visa_mpagominimo_lag1	0.00206078407694079	0.00307002697391955	0.00341478772613887
ccomisiones_mantenimiento_delta1	0.00202600415172101	0.0027662744859858	0.00214332421108716
Visa_mpagominimo_delta1	0.00202165840015668	0.00432154839558526	0.00323315008113148
mpasivos_margen_lag1	0.00196640658956741	0.00119557606868985	0.00402024654283016
mttarjeta_visa_debitos_automaticos_delta1	0.0019622083796633	0.00308092835816883	0.00391126395582572
mtarjeta_master_consumo	0.00195053622021299	0.00378984492163558	0.00158630209973118
cliente_antiguedad_lag1	0.00194157221691451	0.00189146523091383	0.00406868324816546
Visa_Finiciomora_delta1	0.00192403898927111	0.00146552965986752	0.000508585406020683
Visa_msaldototal	0.00188769562938842	0.0020693279279919	0.00247027197210046
mrentabilidad_lag1	0.00188038385144816	0.00106988833599995	0.00365697125281538
Visa_Finiciomora_lag1	0.00187856962947147	0.00183394485237056	0.00142888280739144
mactivos_margen_delta1	0.00186207655669208	0.00178831380290894	0.00468625124119058
Visa_mfinanciacion_limite_lag1	0.00181784961166466	0.00284209906827562	0.0039475914848272
mcomisiones	0.00181748056851804	0.00124802075869808	0.00334213266813591
mcuenta_debitos_automaticos	0.00176422642889999	0.0101655945792258	0.00268823714610932
Visa_msaldototal_lag1	0.00176108897899557	0.00145371219467143	0.00220387009275629
cliente_antiguedad	0.00175312292687956	0.00323904831486009	0.00406868324816546
ccaja_seguridad	0.00174194438885195	0.00812681751018499	0.000968734106706062
mpasivos_margen_delta1	0.00173069581180632	0.00110770069962518	0.00376595383981982
mpagomiscuentas	0.00170073874446996	0.0124400925366055	0.00215543338742099
mrentabilidad_delta1	0.00169776497653916	0.00176255012784293	0.00418977501150372
canarito23	0.00169527487399605	0.000874230462288695	0.00463781453585527
canarito50	0.00167606318664126	0.000943270569229257	0.00455305030151849
internet	0.00166553256400384	0.000604687806643396	0.00136833692572231
mtransferencias_recibidas	0.00165088591762112	0.00660905266714052	0.00250659950110194
canarito25	0.00164885143395952	0.000817797379088173	0.00408079242449929
canarito19	0.00164628680067956	0.000730798015051667	0.00448039524351554
Visa_mpagospesos_delta1	0.00162860355273357	0.00359762728228163	0.00400813736649633
canarito39	0.00162309415429634	0.000652800730470442	0.00438352183284493
canarito77	0.00161050626008096	0.000935634952707129	0.00448039524351554
canarito66	0.00160896315838658	0.00100153130315979	0.0043714126565111
ccaja_seguridad_lag1	0.00160807517362558	0.00211740109063264	0.000617567993025114
chomebanking_transacciones_lag1	0.00160778644460797	0.00151306494492989	0.00380228136882129
Visa_mpagospesos_lag1	0.0016073438130633	0.00477603627518903	0.00387493642682425
canarito43	0.00159122693406245	0.000788703835807321	0.00435930348017728
canarito73	0.00158013734058466	0.0011278905697641	0.0043229759511758
chomebanking_transacciones_delta1	0.00157982752517577	0.00268685660450801	0.003475333607808
canarito51	0.00157761070840501	0.000682857039996018	0.00449250441984936
canarito71	0.0015720395046469	0.000842044673713819	0.00438352183284493
canarito85	0.00156670342914477	0.000591889320726542	0.00425032089317285
canarito70	0.00155685880881055	0.000766884071762115	0.00405657407183163
canarito68	0.00155417670626087	0.000747615528109108	0.0042261025405052
canarito72	0.00154957682084732	0.000617770286046626	0.00402024654283016
canarito8	0.00154774847675682	0.000917683354098258	0.00425032089317285
mtransferencias_emitidas	0.00154380195279843	0.00376537080989965	0.00300307573078879
Visa_fultimo_cierre_lag1	0.00154173775200454	0.00236731808632363	0.00283354726211523
canarito76	0.0015404841063343	0.000839325700981495	0.00421399336417137
canarito7	0.00153840459037382	0.000716127815876435	0.00428664842217432
canarito94	0.00153612420287787	0.000848401532716392	0.00423821171683902
canarito35	0.00153534741073147	0.000633745470436867	0.00408079242449929
canarito93	0.00153057964460544	0.000834855347657536	0.00415344748250224
canarito69	0.00152805790134858	0.00116441347497003	0.00408079242449929
canarito21	0.00152440327635479	0.0017846083540952	0.00425032089317285
canarito20	0.00152340929929323	0.000715917155026548	0.00416555665883607
canarito26	0.00151741175095391	0.000849896406446487	0.00410501077716694
canarito2	0.00151244679043092	0.000588541617678796	0.00392337313215955
canarito28	0.00151209018212179	0.000851837570642428	0.00398391901382868
cmobile_app_trx	0.00150888950106075	0.00177132853751137	0.00356009784214478
canarito81	0.00150665529296823	0.000697659951310247	0.00411711995350076
mcaja_ahorro_dolares_lag1	0.00149797790506917	0.00308185125831646	0.00296674820178731
mcomisiones_mantenimiento_lag1	0.00149211389186725	0.00321938667050762	0.00326947761013296
canarito18	0.00149162240823758	0.000744743490546115	0.00408079242449929
canarito27	0.0014898405800772	0.000751248273751048	0.00403235571916398
canarito48	0.00148763467897086	0.000654358340848063	0.00399602819016251
canarito32	0.00148627223447629	0.000843588960422149	0.00411711995350076
canarito91	0.00148376050825189	0.000553309744553893	0.0038991547794919
canarito52	0.00148030870815332	0.000659042502345363	0.00388704560315807
canarito33	0.00147943460359756	0.00107031605725742	0.00395970066116103
canarito46	0.00147812448019865	0.000550665678119786	0.00408079242449929
canarito87	0.00146335781706153	0.000942867816737866	0.00410501077716694
canarito11	0.0014620017050964	0.000827365766943696	0.0038507180741566
canarito4	0.00146156656151084	0.000541003185292974	0.00398391901382868
canarito5	0.00146082652089727	0.000801118453173511	0.00397180983749485
canarito54	0.00145901985828354	0.000845143423476316	0.00403235571916398
canarito14	0.00144771886952659	0.000821374522015751	0.00406868324816546
canarito13	0.00144582057399185	0.00102920561338424	0.00409290160083311
ccomisiones_mantenimiento	0.00143635166073724	0.000727974131537527	0.000799205638032501
canarito40	0.00142695077134295	0.000816980019187045	0.0038991547794919
canarito92	0.00142045949959829	0.00055366193004845	0.00374173548715216
mpayroll_lag1	0.0014150584577938	0.00407540241794665	0.00208277832941803
canarito44	0.0014150154635467	0.00103184758160271	0.00393548230849338
canarito30	0.0014050202162973	0.000645703830812939	0.00377806301615364
canarito90	0.00140438906992666	0.000790464238726193	0.00386282725049042
canarito37	0.00140015499959705	0.000583895538795295	0.0039475914848272
mcomisiones_lag1	0.00139457423700789	0.000991139680399362	0.00301518490712262
canarito64	0.00139005774393399	0.00051573164670446	0.00370540795815069
canarito89	0.00138922998416323	0.000548849147932643	0.00375384466348599
canarito12	0.0013845569254866	0.000595789588862114	0.00374173548715216
canarito29	0.00137993559089895	0.000524074361896027	0.00380228136882129
canarito63	0.00137909561066237	0.000609250796187699	0.00381439054515512
canarito3	0.00137033785692254	0.00068317030359052	0.00386282725049042
canarito60	0.00136804429909736	0.000683331131819044	0.00387493642682425
canarito15	0.00136727519903545	0.000681211514383235	0.00382649972148894
Master_status	0.00136560454011531	0.00119141709056632	0.000702332227361895
Visa_cconsumos	0.00136473755177033	0.00155109227074706	0.00261558208810637
mcomisiones_otras_lag1	0.00136190146296216	0.000867389230206477	0.00271245549877697
canarito78	0.00135745438900554	0.000637501171515096	0.00377806301615364
canarito62	0.00135215141015139	0.000836115221236364	0.00381439054515512
canarito65	0.00135137204698587	0.000590165426759743	0.00358431619481243
mttarjeta_visa_debitos_automaticos_lag1	0.00135035439954594	0.00171849169100072	0.00295463902545349
canarito55	0.0013502817792625	0.000603916082932358	0.00366908042914921
canarito80	0.00134786885932502	0.000929102368145014	0.00382649972148894
canarito36	0.00134362276432984	0.000663213230476456	0.00371751713448451
canarito38	0.00134308099845678	0.000590793632521257	0.00360853454748008
canarito34	0.00133858997462611	0.00156218176002813	0.00369329878181686
canarito56	0.00133440371222016	0.00174309599701689	0.00369329878181686
canarito17	0.00132946879014681	0.000716102637288799	0.00372962631081834
canarito82	0.00132848886187402	0.00064734117338474	0.00351166113680947
canarito86	0.00132748580003258	0.000926863676971844	0.00365697125281538
canarito9	0.00132541924755429	0.000796821937015021	0.00380228136882129
ctarjeta_visa_transacciones_delta1	0.00131913756934216	0.00538350841398182	0.00290620232011819
Visa_mconsumospesos	0.00131645233687008	0.00124354883171239	0.00313627667046088
canarito67	0.0013163972718491	0.000993089342368629	0.00366908042914921
canarito31	0.00131355575938972	0.000588251014813165	0.00368118960548304
ccallcenter_transacciones	0.00131177932510226	0.00171859020222485	0.00165895715773413
canarito57	0.00130555334814189	0.000569702054212634	0.00372962631081834
canarito6	0.00129740453977683	0.000671984506211741	0.0035722070184786
canarito10	0.00129532105001564	0.000459116333475923	0.00340267854980504
canarito47	0.00128992328190185	0.000497372469708233	0.00349955196047565
Visa_mlimitecompra	0.00128832638796824	0.00156942542986939	0.00297885737812114
