Feature	Gain	Cover	Frequency
mdescubierto_preacordado_delta1	0.101246674720578	0.00311705492753116	0.000296995773521685
ctrx_quarter	0.0405361552074759	0.0065363411529329	0.00293949663024026
mcuenta_corriente_delta1_avg3	0.0364762811872413	0.00472342074054905	0.00137074972394624
mv_status01_max6	0.0339503911842509	0.00122662825052468	0.000479762403381183
mcaja_ahorro	0.0249302083820972	0.00503142340382267	0.0038609450557819
mtarjeta_visa_consumo	0.022713759533445	0.00554233133542487	0.00441686022160454
ctrx_quarter_min6	0.0221948202755739	0.00492001875255616	0.00213227734836081
ctarjeta_visa_transacciones	0.0164238702170437	0.00758486688011427	0.00296995773521685
mpasivos_margen_max6_lag3	0.015830019043299	0.00159653522876758	0.00154590107756159
mv_Finiciomora	0.0133992619807159	0.00568776181173101	0.000738681795682138
mpayroll	0.0123662728627889	0.00546087991951725	0.00178958991737425
mcaja_ahorro_avg6	0.0109440818307671	0.00218803317732857	0.00205612458591935
mautoservicio	0.0105597653585878	0.00501621668694142	0.00167536077371207
mprestamos_personales_tend6	0.00994812259557956	0.000807872178669628	0.000411224917183871
mcuentas_saldo	0.00977967347063154	0.00586065348709656	0.00324410768000609
cproductos_delta3	0.00770235029106563	0.00313358203310193	0.00070060541446141
foto_mes	0.00706209011397403	0.00875679996114753	0.00252827171305639
cpayroll_trx_min6_avg3	0.00644902482630141	0.00276703513775337	0.000791988729391159
cpayroll_trx	0.00605008220135203	0.00603624025413074	0.000586376270799223
mcuentas_saldo_avg3	0.005243816132927	0.00280174612358103	0.00264250085671858
mprestamos_personales	0.00472153117972495	0.00604524139345795	0.00159159273502646
mprestamos_personales_min6_avg3	0.00466219787214727	0.000883516649159751	0.000685374861973118
mv_status01	0.00456442805892855	0.00033425399075848	0.000281765221033393
mv_msaldototal_avg3	0.00450335727989272	0.00278891155874672	0.00236835091192933
mprestamos_personales_delta1	0.00447423890900514	0.00867186563197718	0.00107375395042455
mcuentas_saldo_delta5	0.00407043835442425	0.00285720395936969	0.0033126451662034
cpayroll_trx_min6	0.00352023390277562	0.00240907224194464	0.00070060541446141
mprestamos_personales_min6	0.00349473024946408	0.00252297814556534	0.00080721928187945
mcaja_ahorro_avg3	0.00340984533236443	0.00272950358593856	0.0031451090888322
ctarjeta_visa_transacciones_delta5_avg6_avg3	0.00316027410842726	0.000905399113467661	0.00122605947530747
mpayroll_delta1_avg3	0.00310288000560461	0.00507959587282861	0.00247496477934737
mactivos_margen_avg3	0.003016015158187	0.00291602293563274	0.00261965502798614
ctarjeta_visa_transacciones_tend6	0.00280052709335646	0.00169632825544205	0.00182766629859498
mprestamos_personales_delta1_avg3	0.0027698714032486	0.00104218289084543	0.000616837375775806
mv_msaldopesos_avg3	0.00273202244836026	0.00269351987806495	0.00219319955831398
Visa_Finiciomora	0.00257283201949731	0.00314651910765943	0.000296995773521685
Visa_mpagominimo_max6_delta5	0.00256397115295343	0.00141692618264635	0.00182766629859498
ctrx_quarter_delta1	0.0024736311322159	0.0039269259324909	0.00276434527662491
mtarjeta_visa_consumo_delta5	0.00237908980824645	0.00114988215933204	0.00183528157483913
mdescubierto_preacordado_delta1_avg6_avg3	0.00237158173739423	0.000807116915432723	0.000342687430986559
