Feature	Gain	Cover	Frequency
mdescubierto_preacordado_delta1	0.0966959842231464	0.00276602388144366	0.000264735112989814
mcuenta_corriente_delta1_avg3	0.0348175487616231	0.00324030237086055	0.00150595220012239
mv_status01_max6	0.0326662915583069	0.00173244964670946	0.000394932709542182
ctrx_quarter	0.0279224824460711	0.00343531819117467	0.00275150920714004
mpasivos_margen_avg3	0.0213366612044438	0.00194413671659808	0.00204844218575725
mcaja_ahorro	0.0168128976203381	0.00356206779120005	0.00369761174208724
ctrx_quarter_min6	0.0165718921570616	0.00609837939270868	0.00220901922150517
ctarjeta_visa_transacciones	0.0164287048451491	0.00912593714262642	0.00270811000828925
ctrx_quarter_avg3	0.0135364657970795	0.00186190609528571	0.00203976234598709
mv_Finiciomora	0.00949769578959481	0.00539935212988845	0.000607588783911049
mpayroll	0.00785548524135571	0.00387931363280293	0.00102422109287863
mautoservicio	0.00782544576982811	0.00315649923538838	0.00128895620586844
mprestamos_personales_tend6	0.00765391127890904	0.000648127503022491	0.000381912949886945
mcuentas_saldo	0.00740379054995812	0.00668231598321821	0.00320720079507332
cproductos_delta3	0.00724026693541087	0.00133484142104023	0.000425312148737734
mtarjeta_visa_consumo	0.00647462020924095	0.00621182033856552	0.0033156987922003
foto_mes	0.00548380719844597	0.00589126925313287	0.00196598370794075
mcaja_ahorro_avg6	0.00488703788375269	0.00133753986203019	0.00197900346759599
mprestamos_personales	0.00434694987913224	0.00457410738843602	0.000993841653683073
mactivos_margen_avg3	0.00420565736778393	0.00251377367604063	0.00238261601690833
cpayroll_trx	0.00416333969447465	0.00249867077974121	0.000407952469197419
mprestamos_personales_min6_avg3	0.00412022505453141	0.00121139281816845	0.00060324886402597
cpayroll_trx_min6_avg3	0.00409147997457052	0.00169820346345003	0.000542489985634865
mprestamos_personales_delta1	0.0039623206622872	0.00615728662504395	0.000677027502072312
mcuentas_saldo_delta5	0.00342568159209794	0.00175955317802047	0.0025128136134607
mcomisiones_mantenimiento_delta3	0.0032135688812707	0.00172908499230899	0.000581549264600576
cpayroll_trx_avg6_avg3	0.00312997179727108	0.00192788919093505	0.00084628437759039
mv_msaldopesos_avg3	0.00279817940047554	0.00210018220523263	0.0019139046693198
mv_msaldototal_avg3	0.00279148773949168	0.00189473105758596	0.00152765179954778
ctrx_quarter_min6_delta3_lag5_avg6	0.00274654349260183	0.00126735607441867	0.00144953324161636
mcuentas_saldo_delta3	0.00273170761922234	0.00109347716249699	0.00204410226587217
mcuentas_saldo_avg3	0.00271215205297713	0.00184524235246202	0.00210486114426328
mprestamos_personales_delta1_avg3	0.00270923650082291	0.000905980404064803	0.000486071027128839
mv_status01	0.00268048259982163	0.00279065516089057	0.000273414952759972
mprestamos_personales_min6	0.0026798692015968	0.00241061547744416	0.000664007742417075
ctarjeta_visa_transacciones_delta5_avg6_avg3	0.00264970846243191	0.00103475502518885	0.00111535941046528
cpayroll_trx_min6	0.00250751315225291	0.00117019418257827	0.000425312148737734
mpayroll_delta1_avg3	0.00242274086398879	0.00228142403861939	0.00111969933035036
mprestamos_personales_delta3_avg6	0.00241366850243819	0.000755787264153634	0.000520790386209471
Visa_mpagominimo_max6_delta5	0.00241328562516397	0.000952284316537697	0.00133235540471923
ctrx_quarter_delta1	0.00240652207365094	0.00276932196168837	0.00237827609702325
Visa_Finiciomora	0.00216521295395071	0.00362383758354585	0.000329833911265998
mdescubierto_preacordado_tend6_avg6	0.00215707054944201	0.00114643570232418	0.000420972228852655
mcuenta_corriente_delta3	0.00210555930944692	0.0023755962704341	0.00180974659207791
ccaja_ahorro	0.00203640694063737	0.00431307042396988	0.000503430706669155
Visa_mfinanciacion_limite_avg3	0.00199064758737902	0.00226345051791426	0.00178804699265252
mcaja_ahorro_avg3	0.00197593054651286	0.00226232643560003	0.00299454472070446
ctrx_quarter_min6_delta5	0.00189687278377032	0.00113229362723279	0.00154935139897318
Master_mfinanciacion_limite	0.0018847349801908	0.00301263312822614	0.00292076608265811
mcuentas_saldo_delta1	0.0018663836276242	0.0026565752401465	0.00200070306702138
mdescubierto_preacordado_delta1_avg6_avg3	0.00178518538461434	0.00133024771850133	0.000212656074368867
Master_mfinanciacion_limite_avg6_avg3	0.00177589022145419	0.00236415992860489	0.00300756448035969
mrentabilidad_annual_delta1_lag5_avg3	0.00174848749556286	0.00143919598123733	0.00203542242610201
numero_de_cliente	0.0017465568927634	0.0032699954738269	0.0025128136134607
