fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211128 124424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	303.7	273	TRUE	26	0.0544194304721578	0.70367689466991	123	312	74.6293573329947	0.17874254037317	10	0.0365469106976978	6706125	5926125	0.0424208949478212	6813750	6163750	57
20211128 125423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	611.2	286	TRUE	31	0.0461534023350088	0.918418866755018	415	70	62.4568860477512	0.135427431906149	10	0.0379946942498724	6839875	6149875	0.0340438352037358	6765000	6015000	58
20211128 132040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	926.2	395	TRUE	57	0.0205092392072112	0.597440817409188	134	215	73.7802828623029	0.134083941133147	10	0.0388081310202271	7063375	6168375	0.0406216263714192	7082500	6432500	59
20211128 133530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	538.6	291	TRUE	57	0.043786305674937	0.690877470721641	151	183	72.5934964975657	0.129131756582712	10	0.0407136819730026	6953750	6028750	0.0351652398048421	7047500	6197500	60
20211128 135937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	799.5	389	TRUE	44	0.0210998969023336	0.519864323633244	134	219	73.7820636439731	0.136977580241583	10	0.0389068815746529	6963625	6128625	0.0438770471910488	6946250	6196250	61
20211128 142022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	730.9	375	TRUE	56	0.0227291076916444	0.398888152906251	151	214	72.5986201441705	0.150333320169921	10	0.0404467207284109	7063625	6213625	0.0399688684692827	7030000	6380000	62
20211128 144515	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	742.1	396	TRUE	62	0.0203158549057789	0.516297242130589	113	252	75.4966561750229	0.132644408329899	10	0.038515226833371	6982125	6172125	0.0345794314311299	6985000	6185000	63
20211128 151401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	980.3	397	TRUE	54	0.0202799686565336	0.544453582505157	164	198	71.738099702345	0.151725744810952	10	0.0394550308386265	7006750	6091750	0.0381695998928808	7048750	6298750	64
20211128 153522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	717.3	351	TRUE	59	0.0263388862492361	0.587130673083429	153	186	72.476997646247	0.132697324781801	10	0.0368523679211335	6955500	6030500	0.0336421380331902	7025000	6175000	65
20211128 154425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	183.1	239	TRUE	56	0.102560375195158	0.488687807855927	96	268	77.0917052457202	0.119804876971922	10	0.0378356891198648	6758625	5913625	0.0430820215410108	7015000	6115000	66
20211128 162348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	3042.8	396	TRUE	55	0.0203658601620853	0.364978314351777	7266	4	33.5063127069516	0.12392778646206	10	0.0379796306059769	5822125	5687125	0.0340856786590009	5758750	5558750	67
20211128 164754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	848.8	384	TRUE	56	0.021622085117601	0.418888221315262	106	246	76.0948142050438	0.121530700280879	10	0.0374021909233177	7003375	6158375	0.038998100307131	7075000	6275000	68
20211128 171140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	201	222	TRUE	221	0.181643245010353	0.864288141719904	30	2024	88.7608574319631	0.283066091934682	10	0.0385386591683195	6223625	5328625	0.0476429581649134	6283750	5683750	69
20211128 171747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	210.7	226	TRUE	214	0.14988847857031	0.147489280380239	922	128	54.4531882425211	0.54765997627846	10	0.0380390483124535	6543250	5658250	0.0305875657988334	6781250	5981250	70
20211128 172839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	147.6	222	TRUE	178	0.178401644282052	0.242136695040739	61	1107	81.6264962926321	0.314829225729133	10	0.038589708183743	6286000	5536000	0.0384290293155248	6610000	5810000	71
20211128 174121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	230.9	240	TRUE	9	0.0992158601384005	0.477908698493615	66	996	80.8542736187391	0.306415965386285	10	0.0376482304402768	6526625	5476625	0.0353242449348497	6473750	5673750	72
20211128 174918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	247.3	229	TRUE	43	0.133853217476513	0.58423637554429	1892	59	47.2211948643625	0.521231864791897	10	0.0363125873482129	6691125	5691125	0.0342865272442737	6728750	6028750	73
20211128 181147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	72.5	236	TRUE	163	0.108462933113584	0.743322523699095	133	1264	73.8355432983115	0.783520865743882	10	0.0370348053860896	6563250	5648250	0.0334915015942356	6697500	5847500	74
20211128 183745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	176.6	245	TRUE	100	0.0872698883131146	0.688838414393016	34	2011	87.5273204032518	0.318745286710919	10	0.042343066121028	6405375	5490375	0.0366967102675471	6568750	5568750	75
20211128 190817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	331.7	285	TRUE	198	0.0468959715641383	0.929916929370002	197	485	69.9104777829535	0.445280587790939	10	0.0366967102675471	6733750	5778750	0.0332990217000159	6876250	5926250	76
20211128 192257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	178.1	238	TRUE	254	0.103651188136539	0.975825218050065	614	240	58.534899350889	0.685752426013057	10	0.0344455323742813	6660000	5770000	0.0363284878612136	7023750	5923750	77
