fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211128 094938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254.2	228	TRUE	0.138694965406894	0.6255821042191	11	392	98.3671285728365	0.0201047020704672	10	0.0378415472036019	6167750	5347750	0.0295916915635225	6580000	5530000	45
20211128 100015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	754.2	243	TRUE	0.0925861942827748	0.198491893163067	12581	9	27.757502024509	0.480419312293583	10	0.0354706970282778	6261875	5816875	0.04106516699723	6066250	5866250	46
20211128 101258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	256.6	271	TRUE	0.0558816402039698	0.401796091925868	84	617	78.4752833738664	0.241514109669534	10	0.0390407806315014	6833625	5778625	0.0404626212414116	6856250	5956250	47
20211128 101926	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260.3	224	TRUE	0.164516930541	0.662013718123897	1740	67	48.0639211312868	0.541472682296839	10	0.037207200421782	6762500	5757500	0.0388725699413355	6793750	6043750	48
20211128 102714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	496.6	243	TRUE	0.0923109847439593	0.857807964563812	2512	30	44.3539152661152	0.349813159835995	10	0.0378490790255496	6756625	5906625	0.0367050789586001	6667500	5917500	49
20211128 104859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	299.2	242	TRUE	0.0950512956762361	0.120798904492287	11	16047	98.57459214909	0.822903426755748	10	0.0383403211903626	6038250	5078250	0.0375670541370624	6238750	5238750	50
20211128 105625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	167.1	235	TRUE	0.112996743687922	0.209020589044085	319	669	65.1028161830828	0.99357120455012	10	0.0379260709832375	6640125	5640125	0.0425045818583515	6751250	5651250	51
20211128 112307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1536.9	398	TRUE	0.020155485699889	0.354226012932484	1846	35	47.4648472859745	0.297892009567348	10	0.0391211200656105	6726625	6061625	0.041843455265162	6800000	6150000	52
20211128 114552	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1890.1	399	TRUE	0.0200862467000294	0.131779474281895	1972	26	46.7983403078315	0.241595704131152	10	0.0416066213083612	6695375	6060375	0.0419271421756923	6537500	6237500	53
20211128 121139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1108	388	TRUE	0.021165301519204	0.551516136987416	1379	62	50.4031164173386	0.395187762857792	10	0.0377436335182814	6837375	6082375	0.04004418668876	6768750	6218750	54
20211128 123354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	979.5	398	TRUE	0.020188865826541	0.381306240576973	807	102	55.7857268092502	0.384140980045374	10	0.0380055735482413	6973250	6148250	0.0375670541370624	6938750	6038750	55
20211128 130026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	585.8	399	TRUE	0.0200520959018885	0.629167024329268	276	554	66.5592035377899	0.712450233305428	10	0.0366749516708092	6902000	6092000	0.0371318822023047	6853750	6203750	56
20211128 132009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	305.2	293	TRUE	0.0428404654160168	0.897410665060767	232	832	68.2959864802123	0.899421947597237	10	0.036679972885441	6796250	5826250	0.0294912672708862	6745000	5545000	57
20211128 133148	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	184.1	242	TRUE	0.0933803442185917	0.514078833073391	309	497	65.4237930082611	0.71498040511697	10	0.0340429983346305	6755125	5835125	0.0358096290159256	6851250	6001250	58
20211128 135813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	744	388	TRUE	0.0211922233793855	0.738331143892267	382	380	63.2892095053103	0.676446771981771	10	0.036597122844016	6868625	6008625	0.033324127773175	6822500	6022500	59
20211128 140718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	295.1	235	TRUE	0.112199724478267	0.446546706752526	1571	82	49.0922394727543	0.596447341074592	10	0.0401153205627108	6738125	5803125	0.040554676842995	6792500	6092500	60
20211128 143204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	742.5	395	TRUE	0.0204491160852508	0.570761551732081	223	258	68.670978180099	0.267845625117228	10	0.0374833672265321	7031250	6136250	0.0367134476496531	6966250	6216250	61
20211128 144743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	662.7	329	TRUE	0.0309236683508465	0.249896307212277	290	216	66.0392720985936	0.291740961941595	10	0.0370272735641418	7089375	6024375	0.0390650498355552	7165000	6065000	62
20211128 150939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1504.1	399	TRUE	0.02002561532225	0.67551762774736	1948	42	46.9217200602539	0.379325702824954	10	0.0401437741122911	6753875	5983875	0.0411572225988133	6802500	6152500	63
20211128 152903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	205.9	255	TRUE	0.0714559331415775	0.710456206114692	142	1509	73.1620835488383	0.998837680154051	10	0.0367561279740236	6649875	5669875	0.0391487367460855	6802500	5852500	64
20211128 155617	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	687.3	398	TRUE	0.0201041201202114	0.7152574728768	393	534	63.0156003025512	0.977392194615037	10	0.0342446837890086	6915000	6030000	0.0355083561380165	6846250	6096250	65
20211128 162027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	996.3	399	TRUE	0.020009075807381	0.832697049432581	250	207	67.5528898511687	0.240989046426766	10	0.0381553731180906	7010875	6135875	0.033575188504766	6885000	6285000	66
20211128 162853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	230.5	247	TRUE	0.085058652493342	0.773724461579817	245	220	67.7246793030901	0.251209820874568	10	0.0366339450846493	6853125	5798125	0.0312821671562351	6977500	6127500	67
20211128 164436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	409.4	365	TRUE	0.0241543451718838	0.757732654825802	161	313	71.9217765244003	0.235089570754418	10	0.0365134359334856	6936125	5986125	0.0390985245997673	6860000	6260000	68
20211128 170305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	522.6	356	TRUE	0.0256313580015642	0.993287689950095	174	321	71.1512259998848	0.260082891708282	10	0.0402190923317684	6827625	5947625	0.0375921602102215	6735000	6135000	69
20211128 170931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180.6	231	TRUE	0.127664164316276	0.269357519095069	770	155	56.2556935155101	0.555860140034392	10	0.0372523913534684	6785750	5630750	0.0400190806156009	7022500	6072500	70
20211128 172649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1480.9	333	TRUE	0.0299177911351123	0.113261075027407	2280	27	45.3346642882924	0.289440968447757	10	0.0415572460311483	6577750	6067750	0.042119622069912	6508750	6308750	71
20211128 174251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1519.5	334	TRUE	0.0298210094008497	0.10011877141729	4425	11	38.601773965552	0.218403188337471	10	0.0331057049366908	6255125	5855125	0.0299013331324847	6083750	5933750	72
