fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211110 171609	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.076905667699175	0.419173277771915	6859	479	0.0390692341810817	1	6065000
20211110 171659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.0641599977924489	0.839030743541662	1939	694	0.0356380708493385	2	6077500
20211110 171748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.0539325655496214	0.47883567258832	2262	334	0.0445005146744998	3	5753750
20211110 171837	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	357	TRUE	0.048175313253887	0.687696601051721	7211	569	0.0412785686190823	4	5935000
20211110 171953	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	231	TRUE	0.0554300020448864	0.898634747244068	1092	746	0.0444251964550225	5	5615000
20211110 172046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	334	TRUE	0.042256474357564	0.28803192688647	5869	202	0.0468270107872428	6	5956250
20211110 172124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0800598362053279	0.262583830038784	3614	660	0.0382239963847255	7	6141250
20211110 172207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0905170106329024	0.749556493200362	4780	825	0.041454311131196	8	6058750
20211110 172343	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	578	TRUE	0.0247853986150585	0.624119160616829	3388	131	0.0387177491568544	9	5817500
20211110 172504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	414	TRUE	0.0307446525385603	0.380267285765149	5483	969	0.0445423581297649	10	5847500
20211110 172610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	243	TRUE	0.0657875390152913	0.544173332347418	1423	290	0.0466512682751291	11	5832500
20211110 172653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	0.0888277341250796	0.166082692438795	7875	243	0.0476471425104399	12	5733750
20211110 172808	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	497	TRUE	0.0294164710352197	0.823820589089883	4306	886	0.0415798414969915	13	5840000
20211110 172849	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.0985606886749156	0.577938669925788	268	955	0.0372030160762555	14	5593750
20211110 172955	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	571	TRUE	0.039837005258305	0.120875760927447	3050	504	0.0394625626605743	15	5806250
20211110 173022	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	151	TRUE	0.0744948219961952	0.96588307353959	6429	443	0.0398224163758547	16	5702500
20211110 173141	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	537	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0427012460980978	17	5872500
20211110 173230	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	302	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0423999732201886	18	5717500
20211110 173259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	159	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.0410107705053852	19	5625000
20211110 173346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	234	TRUE	0.062278566761408	0.423446070845309	5296	627	0.0477140920388642	20	5723750
