fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211116 233850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0715388162888121	0.426246554228419	6923	359	0.030627468658767	1	3733750
20211116 234742	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	311	TRUE	0.0445935992430896	0.543792566702177	1605	596	0.0319476644341405	2	3930000
20211116 235202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	308	TRUE	0.0626491840928793	0.318433783776709	3393	518	0.0318617980422463	3	3640000
20211116 235806	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0761473736446351	0.609303610528877	1843	661	0.0380119783616692	4	4173750
20211117 000238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	91	TRUE	0.0915696725074668	0.883673651471327	5968	276	0.0279548772110596	5	3795000
20211117 000455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	353	TRUE	0.032612539959373	0.123006404016633	2206	738	0.0374753134123304	6	3986250
20211117 000922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	518	TRUE	0.0252039274247363	0.235925234372553	6230	109	0.035285720419028	7	3791250
20211117 001816	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	263	TRUE	0.0874302022822667	0.825781982406625	7293	957	0.0386774428988494	8	3996250
20211117 002457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	121	TRUE	0.0356475231703371	0.729924311464129	3096	180	0.034566589386914	9	3625000
20211117 003251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.0688714932207949	0.712847567840072	4409	977	0.0307026017516744	10	3825000
20211117 003438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0586083048884757	0.187241630555945	4897	474	0.0294146058732612	11	3775000
20211117 003758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0822865313722286	0.364642096178432	1101	871	0.033793791859866	12	3865000
20211117 004719	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	273	TRUE	0.0497486968769226	0.989732734170684	7993	438	0.0304450025759918	13	3805000
20211117 005726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0543848363636062	0.921687664851197	426	730	0.0413822342435171	14	3831250
20211117 010815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	416	TRUE	0.024966450901702	0.594476058079454	5096	818	0.0476290142538211	15	3453750
20211117 011046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	86	TRUE	0.0994971949083265	0.441696667690121	3772	230	0.0331819938176198	16	3736250
20211117 011437	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	83	TRUE	0.0777933594882086	0.595129631240426	1952	728	0.0340245577880817	17	4137500
20211117 011622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	151	TRUE	0.0857282313412465	0.186942571208021	1854	632	0.0369708483599519	18	3595000
20211117 012302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0740475468981545	0.609545804017954	1442	678	0.0303806027820711	19	3862500
20211117 013740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	424	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0345343894899536	20	3828750
20211117 014438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0313787995878413	21	4096250
20211117 015427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	275	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.0300264039155075	22	3903750
20211117 015918	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	271	TRUE	0.062278566761408	0.423446070845309	5296	627	0.0337508586639189	23	3670000
20211117 021127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	343	TRUE	0.0291698684212565	0.990747633903171	6196	506	0.037732912588013	24	3856250
20211117 021313	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0845429159516469	0.265302602361399	2184	862	0.0409314356860725	25	3483750
20211117 021925	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	0.0767758899017493	0.611590286926089	1993	274	0.0377865790829469	26	3850000
20211117 022628	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.0722323446390033	0.951347630601563	2650	667	0.0324843293834793	27	3667500
20211117 023313	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	244	TRUE	0.0476338022232428	0.572736529607885	6004	663	0.0368742486690709	28	3556250
20211117 023648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	252	TRUE	0.0551776551933028	0.327766494586272	6499	587	0.0354467199038296	29	3822500
20211117 023845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.0798047164328769	0.393344031555881	5062	686	0.0458794865189765	30	3557500
20211117 024339	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	0.0386352451506071	0.404612072499818	875	661	0.0349207882534776	31	3783750
20211117 024528	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	298	TRUE	0.0433675417006388	0.112609258927475	2956	217	0.0384627769191139	32	3721250
20211117 025026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	150	TRUE	0.0697419938869402	0.427681592786498	466	679	0.0269566804052894	33	3861250
20211117 025626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	235	TRUE	0.0556473292419501	0.554259937580652	5574	930	0.0286954748411472	34	3908750
20211117 025928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	158	TRUE	0.0495886520421691	0.37796487140283	4246	549	0.0364663833075734	35	3953750
20211117 030214	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.0849849735815264	0.319760480330302	1022	336	0.0287920745320282	36	3447500
20211117 031546	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	263	TRUE	0.0465037125027552	0.727070892823022	1014	527	0.0296078052550232	37	4002500
20211117 032531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.0574375245955959	0.803841766718193	7531	301	0.0390853082603469	38	3948750
20211117 033352	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.0289933062436432	0.914142998647527	367	455	0.0365737162974412	39	3941250
20211117 033652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	156	TRUE	0.0775838731076382	0.402970562975947	6385	731	0.0350066546453718	40	3573750
20211117 034403	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	120	TRUE	0.0345491855871305	0.707065885409084	1984	378	0.0358223853683668	41	3778750
20211117 034758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	210	TRUE	0.0926832483600639	0.398507780198264	3202	509	0.0298761377296926	42	3771250
20211117 035515	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0389983416760899	0.639422746171732	1062	636	0.0377758457839602	43	3901250
20211117 035727	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	281	TRUE	0.0361606589905545	0.154521770766121	3700	912	0.0312392667010132	44	4012500
