Feature	Gain	Cover	Frequency
mcaja_ahorro	0.0853397867197915	0.0104017381125482	0.0014249886000912
ctrx_quarter	0.080097419988855	0.00812639662961472	0.00141548867609059
mdescubierto_preacordado_delta2	0.0733488746033075	0.000529811052747494	0.000132998936008512
mcuentas_saldo	0.0350545217889086	0.00571650435816657	0.00258397932816537
ctarjeta_visa_transacciones	0.0214891754628012	0.0073862719804097	0.00126348989208086
mprestamos_personales	0.0160711887863877	0.00748236360385605	0.00250797993616051
ctrx_quarter_min6	0.0159972445442244	0.00539264656558132	0.000873993008055936
cpayroll_trx	0.0155358464327172	0.0106225845001459	0.00113999088007296
mtarjeta_visa_consumo	0.0132742940292036	0.00618451360512441	0.00102599179206566
mv_status06_delta6	0.0114907467131745	0.000431399463602386	0.000123499012007904
Visa_Finiciomora	0.00714743316698485	0.00213112448423474	0.000370497036023712
mpayroll	0.00661359396653832	0.00563946992960778	0.000721994224046208
mv_status07_avg6_delta2	0.00644988756477073	0.00127289866962837	0.000170998632010944
mcuentas_saldo_min6_delta2	0.00588295984680576	0.00190590780731442	0.00123499012007904
mv_Finiciomora	0.0058266815003083	0.00497388963146082	0.00117799057607539
mcuenta_corriente_delta4	0.00562186408524818	0.000127794321586132	0.000313497492020064
mprestamos_personales_delta2	0.00557687729844769	0.00460715189107788	0.00140598875208998
mv_status06_delta4	0.00523196506167903	0.000257748571474749	3.7999696002432e-05
mdescubierto_preacordado_avg3	0.00405029507685696	0.000414224847415117	0.000294497644018848
foto_mes	0.00394379902369715	0.00267327371017199	0.00192848457212342
mv_msaldopesos	0.00390108679080193	0.00243407060232751	0.000636494908040736
mv_status06_tend6	0.00383013600676896	0.000492460254371712	3.7999696002432e-05
mv_msaldototal	0.00377615397824584	0.00135613510866808	0.000503495972032224
mv_Finiciomora_avg3	0.00339789354102246	0.000465588233756307	0.000161498708010336
cproductos	0.0028596089559967	0.00245105028483376	0.00123499012007904
Visa_mpagospesos	0.00268747659291715	0.000771075044134981	0.000721994224046208
ccaja_ahorro_delta4	0.00258454608473515	0.00342289160536711	0.000636494908040736
mv_status06_tend6_avg3	0.00239061210413265	0.000274411456404739	9.499924000608e-05
ctrx_quarter_delta2	0.00228914801612837	0.00124167638712338	0.00157698738410093
mpagomiscuentas	0.00207192576655828	0.00786520133692381	0.000883492932056544
cproductos_min6_delta2	0.00203313367116749	0.000585043314316419	0.000322997416020672
cproductos_delta2	0.00203167704112311	0.00562098515516836	0.00075999392004864
mtarjeta_visa_consumo_delta6	0.00200266876270996	0.000181037919749162	0.000322997416020672
mactivos_margen	0.00193897435582747	0.00278478057016275	0.00138698890408877
mautoservicio	0.0017917160974685	0.00659661936806249	0.000721994224046208
mprestamos_personales_delta4	0.00173683120530626	0.00108537659535001	0.000199498404012768
ccaja_ahorro	0.00170183796340414	0.00410807621145716	0.00121599027207782
Visa_mpagominimo	0.00170163906217984	0.00444360362510571	0.000883492932056544
mdescubierto_preacordado_avg6_avg3	0.00168959021473062	0.000145943059975795	7.5999392004864e-05
ctrx_quarter_min6_delta2	0.00167285226460903	0.00134991968587598	0.00102599179206566
ctrx_quarter_min6_delta6_avg6	0.00147665352920184	0.000314925739542963	0.000560495516035872
mtransferencias_recibidas	0.00140256819978532	0.00275970197582626	0.000626994984040128
mcuentas_saldo_min6_delta4	0.00136127420225023	0.000324720368054846	0.000512995896032832
ccomisiones_mantenimiento_tend6	0.00133665281889554	0.00192775743325153	0.000598495212038304
mtarjeta_visa_consumo_tend6	0.00125876006706642	0.0002423753318504	0.00028499772001824
Master_Finiciomora	0.0012045481323489	0.00143807049283426	0.000370497036023712
mdescubierto_preacordado_delta6_avg3	0.00115957192484758	0.000476816462334537	6.6499468004256e-05
ccaja_ahorro_delta6	0.00114494285542893	0.00148934217780807	0.000341997264021888
ccaja_ahorro_tend6	0.00113577098079166	0.00227475431501195	0.000389496884024928
mcuenta_corriente	0.00113569959266276	0.000712555552543463	0.0009499924000608
ccaja_seguridad	0.00111806080743565	0.001765108641777	0.000351497188022496
mpasivos_margen_avg3	0.00107968807319875	0.000407077420719082	0.000370497036023712
mcuenta_debitos_automaticos	0.00107432181853087	0.00263911097568094	0.00066499468004256
mpasivos_margen	0.00106154603680515	0.000595053996347742	0.000892992856057152
mpayroll_min6_lag2	0.0010568676351686	0.00128045477733561	0.000398996808025536
mv_status01	0.00105465717802405	0.000278407111352167	0.000208998328013376
mcomisiones_mantenimiento_delta6	0.00104989280248355	0.00139765956338806	0.000835993312053504
mcuenta_corriente_delta6	0.00101954248857371	0.000279957477421716	0.000436996504027968
mrentabilidad_annual_min6_delta6_avg6_avg3	0.00101709696262729	0.000153009770047994	0.000275497796017632
cprestamos_personales_avg6_avg6_avg3	0.000994249811166875	0.000825958889059214	0.00037999696002432
mtarjeta_master_consumo	0.000955675174304515	0.0017346860000507	0.000636494908040736
mv_mpagominimo	0.000945704650099481	0.00473032479146969	0.00111149110807114
mcuentas_saldo_min6_delta6	0.000928481648052268	0.000501968247835193	0.000626994984040128
mv_status01_max6	0.000923312972032362	0.000134965356377409	0.000113999088007296
Visa_msaldototal	0.000919253922920696	0.00141125005803108	0.000531995744034048
mpayroll_min6_delta2	0.000906862355798454	0.00291007686396415	0.00075999392004864
ctrx_quarter_delta6	0.000901203401859035	0.000259548977010615	0.00061749506003952
ctrx_quarter_max6_lag4_lag6_avg6	0.000901036267633093	7.9231802092032e-05	0.000265997872017024
tmobile_app_tend6_lag2_delta4	0.00089245176361531	0.000507996990676221	0.000512995896032832
cproductos_delta4	0.000861108804093617	0.00143913164333634	0.00033249734002128
Visa_status	0.000836251400253259	0.000140889288985832	9.499924000608e-05
mv_cconsumos	0.000829329247013192	0.000685705197969193	0.00033249734002128
ctrx_quarter_avg3	0.00082589514676389	0.000446875814161995	0.000645994832041344
mcaja_ahorro_dolares_delta2	0.000801371755266655	0.00262654157667404	0.000683994528043776
mpayroll_min6_lag2_avg3	0.000799321387594692	0.000851202982819159	0.000227998176014592
mv_mpagominimo_max6	0.000793076768077871	0.000516253148199962	0.000351497188022496
cprestamos_personales_delta2	0.000787267465963967	0.000399421964806411	0.000123499012007904
mcuentas_saldo_delta2	0.00077454745014407	0.0017126152833913	0.0010734914120687
mactivos_margen_avg3	0.000759112307380811	0.00196338981718829	0.000788493692050464
cproductos_tend6	0.00075720219288329	0.00153309859890008	0.000550995592035264
mv_status02	0.000755394533348968	0.00065527539491837	0.000246998024015808
mv_msaldototal_avg3	0.000753121941511407	0.000174496049799466	0.000227998176014592
mcuenta_corriente_delta2	0.000737631121897323	0.00212907233993521	0.000731494148046816
mdescubierto_preacordado_tend6_delta2	0.00073478431940556	0.0010249208758135	0.00042749658002736
ccomisiones_mantenimiento_delta6	0.000729425491560374	4.3375414351832e-05	9.499924000608e-05
ctrx_quarter_min6_delta6	0.000721537020341153	0.000279077726911101	0.000503495972032224
mcuenta_corriente_delta2_avg6	0.000714074208691353	0.000107018651570366	0.000256497948016416
ctrx_quarter_min6_delta6_avg6_avg3	0.000702546439415386	0.000326266485881036	0.000493996048031616
mdescubierto_preacordado_avg6_delta6_avg6_avg3	0.00069594687632243	0.000404422996889522	0.000246998024015808
