Feature	Gain	Cover	Frequency
mdescubierto_preacordado_delta1	0.0975570057367555	0.00331848948143848	0.000313271661814027
mv_status01	0.0471216496398627	0.00340442509788807	0.000755537537316183
ctrx_quarter	0.0404943324848944	0.00682231329480607	0.00292079755279549
ctarjeta_visa_transacciones	0.0350134506406738	0.00685286180352244	0.00191648546050934
mcaja_ahorro	0.0323704391762028	0.00600527001146137	0.00219290163269819
mcuenta_corriente_delta1	0.029625337057997	0.00806940916495745	0.00285630044595142
mcaja_ahorro_avg6	0.0273703587843304	0.00342464828879752	0.001999410312166
mtarjeta_visa_consumo	0.026544991610931	0.00552367682191098	0.00188884384329046
ctrx_quarter_min6	0.0223296264183805	0.00426368240025391	0.0018151328640401
mv_Finiciomora	0.0203469344289578	0.0075257382390126	0.00118858954041204
mprestamos_personales_tend6	0.013581912502943	0.00312727066995577	0.00116094792319316
mpayroll	0.0124063350431159	0.00670693289983801	0.00103195370950503
mcuenta_corriente_delta1_avg3	0.00978022084760951	0.0010553797086571	0.0014465779677883
cpayroll_trx_min6_avg3	0.00867153819159509	0.00468442713685512	0.000626543323628054
foto_mes	0.00815802588094673	0.0139609566148227	0.00368554896251797
mcuentas_saldo	0.00793593914374071	0.00616610333450927	0.00288394206317031
mcuentas_saldo_avg3	0.00652476266286911	0.00353873192650208	0.00192569933291564
mcaja_ahorro_avg3	0.00633648354054865	0.00338339636574321	0.00219290163269819
mautoservicio	0.00597625541574765	0.00539778487918722	0.00141893635056942
cpayroll_trx	0.00589719602621902	0.0079494539787996	0.00052519072715881
mprestamos_personales_min6_avg3	0.00565451880067608	0.00252010129967785	0.00156635830907014
mprestamos_personales	0.00519984164761184	0.00888422940427264	0.0028931559355766
mv_msaldototal_avg3	0.0047901557682159	0.00270897770312828	0.00166771090553938
mv_status01_max6	0.00461993401911477	0.00133120670940851	0.000681826558065824
cpayroll_trx_min6	0.0043174251305885	0.00345167600152086	0.000294843917001437
mv_msaldopesos_avg3	0.00420244692753389	0.00355026685479825	0.0018059189916338
mv_msaldopesos	0.00397273606890325	0.00468885095468584	0.00178749124682121
mprestamos_personales_min6	0.00388060256435461	0.00497974506351561	0.00167692477794568
mprestamos_personales_delta1	0.00380910943141665	0.0117961647606846	0.00189805771569675
mpayroll_delta1_avg3	0.00352351515512564	0.00544905917863029	0.00198098256735341
ccaja_ahorro	0.00337989350531489	0.00918377044040362	0.00141893635056942
mprestamos_personales_delta3_avg6	0.0033212715172053	0.000921668318529168	0.000967456602660966
mv_Finiciomora_avg3	0.00331756535006831	0.00356724323430994	0.000875317878598017
ctarjeta_visa_transacciones_tend6	0.00330431985460124	0.00182256293494718	0.00188884384329046
ctrx_quarter_delta1	0.00315791104393531	0.00481510121046238	0.0028931559355766
mv_fechaalta	0.00311079209072061	0.00288865893378141	0.0041738842000516
mactivos_margen_avg3	0.00308914444963873	0.00283972671080394	0.00231268197398002
mactivos_margen_max6_lag3	0.0030188874866701	0.00141271093725499	0.00198098256735341
mv_msaldototal	0.00298257143696576	0.00486807981787289	0.00197176869494711
mv_cconsumos	0.00292524210907892	0.00311594954690345	0.00140050860575683
cproductos	0.00285295249458862	0.00536839762748675	0.00205469354660377
mpagomiscuentas	0.00283836291429077	0.0113228638878771	0.000893745623410607
mprestamos_personales_delta1_avg3	0.00273509557717688	0.00168514739245529	0.00105038145431762
mcuenta_corriente	0.00271282261301367	0.00360597149288331	0.00240482069804297
ccaja_ahorro_delta3	0.00264699276194493	0.007316578796868	0.00052519072715881
