fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211106 135647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	457	TRUE	0.0485679609421641	0.812200082595518	6848	557	0.029060279681655	1	5460000
20211106 135818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	125	TRUE	0.0694525726698339	0.401175229586079	3844	906	0.0337383779803001	2	5211250
20211106 140004	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	501	TRUE	0.0280438727512956	0.160725437295332	6456	657	0.0313281949570268	3	5271250
20211106 140342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	627	TRUE	0.0426151562482119	0.566880352397857	4333	491	0.021821361920782	4	4691250
20211106 140453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0769388209364843	0.349702172529942	3299	713	0.0268425765526014	5	5491250
20211106 140537	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0868696545087732	0.312519602611428	2060	213	0.0314035131765041	6	5010000
20211106 140706	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	308	TRUE	0.0846899416751694	0.95427214524243	2866	601	0.0330186705497393	7	5118750
20211106 140814	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	240	TRUE	0.0730772462580353	0.630408691486809	5420	413	0.0295372950716778	8	5388750
20211106 140925	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.0985639136622194	0.243620223802282	2260	1020	0.0405421238064154	9	6345000
20211106 141254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	643	TRUE	0.0344197078992147	0.534330553532345	5829	795	0.0269262634631317	10	5328750
20211106 141419	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	225	TRUE	0.0513272671634331	0.69484128067561	1470	749	0.0283824157063594	11	5611250
20211106 141514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	103	TRUE	0.0368544003763236	0.489423041073314	1028	130	0.0364665712635887	12	5053750
20211106 141600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	120	TRUE	0.0904848694708198	0.873797504692629	348	249	0.0399563154327032	13	5882500
20211106 141711	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	267	TRUE	0.0225729210360441	0.723101025544747	7367	292	0.0328680341107847	14	4641250
20211106 141817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	277	TRUE	0.0644040121824946	0.909390308032744	7800	946	0.0262567681788891	15	5228750
20211106 141907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	211	TRUE	0.0586509651492815	0.136960567996721	4809	353	0.0340898630045275	16	5058750
20211106 142037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	308	TRUE	0.0742044303690209	0.243670092621648	2754	948	0.0358221820525052	17	6250000
20211106 142117	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	86	TRUE	0.0962596506816281	0.243442426839764	1083	978	0.0256709598051769	18	5316250
20211106 142146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.0863401956005598	0.243600394888732	2443	248	0.0427347208623099	19	5217500
20211106 142259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	263	TRUE	0.087572058834418	0.216284847786889	2472	1023	0.0299557296243295	20	5476250
20211106 142433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	376	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0315374122333526	21	5290000
20211106 142600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	336	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0260810256667755	22	5355000
20211106 142710	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	262	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.0310687655343828	23	5360000
20211106 142801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.062278566761408	0.423446070845309	5296	627	0.0281229862837154	24	4350000
20211106 142846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.0991095281831404	0.221108303313961	2530	932	0.0415045232775142	25	5501250
