fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211115 121445	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.0886603444512002	0.485235737566836	5909	439	0.037855773978392	1	5696250
20211115 121540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	211	TRUE	0.0780185839103069	0.77727552842407	2447	715	0.0397387294653243	2	6265000
20211115 121652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	364	TRUE	0.0504617734404746	0.283917241582822	3247	449	0.0340145447850502	3	6020000
20211115 121825	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.045191002395004	0.761161693291797	1156	871	0.0392868201484606	4	6582500
20211115 122028	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	692	TRUE	0.0406185521616135	0.351083260431187	7654	520	0.0369854301088767	5	6476250
20211115 122132	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	434	TRUE	0.0665184754284564	0.181224121034029	4923	145	0.033981070020838	6	6325000
20211115 122221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	273	TRUE	0.0554941302177031	0.656674082632526	6216	610	0.0421991246349159	7	6247500
20211115 122334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	189	TRUE	0.0931164287065622	0.562658863888646	1546	805	0.0423748671470295	8	5971250
20211115 122411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0844477517146152	0.216449332002958	4322	1020	0.0389688098884453	9	5730000
20211115 122458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	245	TRUE	0.0294015157374088	0.937178288430732	6549	263	0.0362406166051568	10	5587500
20211115 122630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	308	TRUE	0.0354714437422808	0.429761074323324	1762	284	0.0404500682048321	11	6458750
20211115 122815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	385	TRUE	0.0230933698697481	0.530432034250407	3889	949	0.040952189668014	12	5883750
20211115 122902	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0950233233941253	0.705451983606326	2831	201	0.043019256358113	13	6325000
20211115 122944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.073228161779698	0.994425079849316	5078	756	0.0373871272794222	14	6116250
20211115 123100	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0325602310569957	0.882908500102349	411	359	0.0453875959261212	15	6171250
20211115 123125	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0639176308142487	0.114336832710251	7416	644	0.038885122977915	16	5242500
20211115 123236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	191	TRUE	0.0596344865702854	0.75143422406264	1505	798	0.0392282393110894	17	6241250
20211115 123356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	378	TRUE	0.036013155381937	0.764023162555837	3504	1023	0.0406174420258927	18	6033750
20211115 123456	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	310	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0368347936699221	19	5898750
20211115 123657	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	369	TRUE	0.0423640167544328	0.633013474956562	1369	624	0.0407178663185291	20	6268750
20211115 123753	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	85	TRUE	0.0476349988392182	0.797360915576233	952	662	0.0387261178479074	21	5716250
20211115 123852	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	288	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0411028261069686	22	6161250
