Feature	Gain	Cover	Frequency
ctrx_quarter	0.133736236468102	0.0295152911834496	0.00339745803303889
Visa_status	0.0709343673704568	0.00319366959676565	0.00111392066657013
mdescubierto_preacordado	0.053414958895925	0.00448861770574688	0.00216100609314605
mcuenta_corriente	0.0307868531465592	0.0037995692034387	0.00456707473293752
mcaja_ahorro	0.0300541963373246	0.0207939509820723	0.00380960867966983
foto_mes	0.0245757938066565	0.01226330506445	0.00685061209940628
mtarjeta_visa_consumo	0.0206957260800836	0.0197144295907473	0.00236151181312867
mprestamos_personales	0.0180789217043643	0.0171084578161626	0.00513517427288829
Visa_Finiciomora	0.0168405511563893	0.0112835474423054	0.00206075323315473
internet	0.0124141090341742	0.000647656898447489	0.00101366780657882
mcuentas_saldo	0.0123932727804736	0.0245469680494245	0.00649415748610384
mpayroll	0.011757092959593	0.026061930949887	0.00232809419313157
ctarjeta_visa_transacciones	0.0110838025665456	0.0229215093610078	0.00333062279304468
cpayroll_trx	0.0104107041907515	0.0234564162043616	0.00135898321321555
Visa_mpagominimo	0.00787095948711637	0.0188126339804957	0.00307442103973355
mprestamos_personales_lag6	0.0067944394430026	0.00127331707071974	0.00193822195983202
ctarjeta_visa	0.00611931140436732	0.00132994550932089	0.000423289853296648
cproductos	0.00551806275682487	0.00954037297379115	0.00307442103973355
mrentabilidad	0.00519688469051574	0.00204686292263679	0.00360910295968721
mpasivos_margen	0.00448412614394001	0.00315546652638102	0.00331948358637898
Visa_msaldototal	0.00399719971840743	0.00149446319907998	0.0017377162398494
ctrx_quarter_lag6	0.00381487542526662	0.00335564153604826	0.00403239281298386
ccaja_ahorro	0.00371135725671298	0.0131727471410784	0.00240606863979147
mactivos_margen	0.00358804359739594	0.00766362671063796	0.00511289585955688
Visa_msaldopesos	0.0035652070166014	0.00522723324860818	0.00210531005981754
Visa_mpagospesos	0.00321769689535006	0.00136203486625094	0.00168202020652089
Visa_delinquency	0.0030861676583109	0.00330711707788054	0.000534681919953661
mcuentas_saldo_lag1	0.00291136651089872	0.00356870292219865	0.00313011707306206
mcaja_ahorro_lag1	0.00280300259471415	0.00404782215048773	0.00304100341973645
Master_Finiciomora	0.00264247587241885	0.00763323969399605	0.00153721051986678
Visa_status_lag1	0.00260686737695282	0.00092608912165693	0.000211644926648324
mrentabilidad_annual	0.00245354162506887	0.00135938031472851	0.00295188976641084
cliente_edad_lag6	0.0024148581679362	0.00281625315659499	0.00415492408630657
mpayroll_lag3	0.00237007625446108	0.00480326887566038	0.00125873035322424
chomebanking_transacciones_lag6	0.00237007465918298	0.00161194812049458	0.00365365978635002
mprestamos_personales_lag2	0.00234272557893409	0.00189315889285238	0.00108050304657302
numero_de_cliente	0.00229259694580083	0.00728631292821498	0.00460049235293462
mttarjeta_visa_debitos_automaticos_lag6	0.00227111660555005	0.00149532115918531	0.00288505452641663
mcomisiones_mantenimiento_lag6	0.00224766056369104	0.00320198988596502	0.00282935849308812
tpaquete3	0.00215301024316285	0.00481540011145162	0.00131442638655275
mcomisiones	0.00213701495428855	0.00129258859744226	0.00306328183306785
tcallcenter	0.00206282730877542	0.00103248118635634	0.000768605259933388
ccomisiones_mantenimiento	0.00205628341907552	0.00356955263735102	0.00134784400654985
cliente_edad	0.0020321239445703	0.00296215406589624	0.00404353201964956
mrentabilidad_annual_lag6	0.00202067442304427	0.00223929398148331	0.00389872233299544
mautoservicio	0.00200763789468871	0.0111943522478311	0.00145923607320687
mcuenta_corriente_lag6	0.00200318951066994	0.00253760607961129	0.00325264834638477
chomebanking_transacciones	0.00198900882421574	0.0024717948650646	0.00334176199971038
ctrx_quarter_lag2	0.00196994686161415	0.00151081197081015	0.00257315673977699
mcaja_ahorro_lag2	0.00196835030684823	0.00369261809859528	0.00228353736646876
mes	0.00196574293789113	0.00335186098261634	0.00302986421307075
mcuentas_saldo_lag6	0.0018916337819796	0.00252726205862399	0.00287391531975093
mcuenta_corriente_lag1	0.00187754230520061	0.000871318707455751	0.00221670212647455
mrentabilidad_annual_lag1	0.00185457780626195	0.00101485137526783	0.00297416817974224
mdescubierto_preacordado_lag2	0.00184784828513402	5.81105901454593e-05	0.00026734095997683
ctarjeta_visa_transacciones_lag6	0.00181714986952265	0.00160439525858369	0.00225011974647166
mcomisiones_mantenimiento	0.0017954707144979	0.00878514191072148	0.00313011707306206
mprestamos_personales_lag1	0.00175158998436318	0.00178293922998944	0.00121417352656144
