fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 224434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	964333	57.8522281544283	0.278749211835093	964333	2	267	4499	0.0376507410475927	6776250	6076250	4458	0.0373076247144184	6677500	6177500	3
20211127 224525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	187049	57.8522281544283	0.278749211835093	187049	3	264	3761	0.0314746470504548	6798750	6248750	4024	0.0336756127974024	6720000	6320000	3
20211127 224613	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	205151	57.8522281544283	0.278749211835093	205151	4	232	4500	0.0376591097386458	6925000	5875000	4673	0.0391068932908204	6808750	6358750	3
20211127 224707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	813697	57.8522281544283	0.278749211835093	813697	5	294	4328	0.0362196948775242	6840000	6240000	4454	0.0372741499502063	6732500	6232500	3
20211127 224811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	344719	57.8522281544283	0.278749211835093	344719	6	399	4236	0.0354497753006452	6855000	6405000	4841	0.0405128333877298	6798750	6448750	3
20211127 224919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	127217	57.8522281544283	0.278749211835093	127217	7	450	4151	0.0347384365611375	6861250	5861250	4792	0.0401027675261312	6860000	6310000	3
20211127 225004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	464371	57.8522281544283	0.278749211835093	464371	8	197	5171	0.0432745014352305	6636250	6236250	4693	0.039274267111881	6883750	6333750	3
20211127 225100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	645137	57.8522281544283	0.278749211835093	645137	9	317	4061	0.0339852543663646	6823750	6073750	4254	0.0356004117395998	6882500	6182500	3
20211127 225204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	480803	57.8522281544283	0.278749211835093	480803	10	395	4307	0.0360439523654105	6716250	6066250	4267	0.0357092047232892	6916250	6266250	3
20211127 225305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	378821	53.5809746431187	0.438475017423392	378821	1	276	3499	0.0292820499945604	6426250	5326250	3499	0.0292820499945604	6426250	5326250	4
20211127 225408	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	964333	53.5809746431187	0.438475017423392	964333	2	331	4080	0.0341442594963722	6950000	5950000	3372	0.0282192262308252	6435000	5585000	4
20211127 225514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	187049	53.5809746431187	0.438475017423392	187049	3	376	4277	0.0357928916338196	6603750	6003750	4668	0.0390650498355552	6565000	6065000	4
20211127 225625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	205151	53.5809746431187	0.438475017423392	205151	4	392	4286	0.0358682098532968	6642500	5492500	4624	0.0386968274292218	6570000	6120000	4
20211127 225706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	813697	53.5809746431187	0.438475017423392	813697	5	152	5211	0.0436092490773518	6636250	6286250	4487	0.0375503167549564	6591250	6191250	4
20211127 225751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	344719	53.5809746431187	0.438475017423392	344719	6	184	3812	0.0319014502941595	6935000	5835000	4955	0.0414668641677755	6606250	6006250	4
20211127 225837	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	127217	53.5809746431187	0.438475017423392	127217	7	208	5773	0.048312453449156	6833750	5683750	4941	0.0413497024930331	6673750	6023750	4
20211127 225939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	464371	53.5809746431187	0.438475017423392	464371	8	321	3662	0.0306461466362046	6922500	5672500	4602	0.0385127162260551	6697500	6097500	4
20211127 230058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	645137	53.5809746431187	0.438475017423392	645137	9	503	5083	0.0425380566225637	7096250	5296250	4387	0.0367134476496531	6866250	5966250	4
20211127 230206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	480803	53.5809746431187	0.438475017423392	480803	10	373	3705	0.031006000351485	6618750	5868750	4565	0.0382030746570929	6843750	5943750	4
20211127 230324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	378821	98.8923754887655	0.598803728774306	378821	1	61	4965	0.0415505510783058	6093750	5343750	4965	0.0415505510783058	6093750	5343750	5
