fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211104 233137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	475	TRUE	0.0485679609421641	0.812200082595518	6848	557	0.0416216849522566	1	5683750
20211104 233154	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.0694525726698339	0.401175229586079	3844	906	0.0447348380239847	2	4918750
20211104 233229	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.0280438727512956	0.160725437295332	6456	657	0.0429439381386357	3	4386250
20211104 233255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0426151562482119	0.566880352397857	4333	491	0.0326169733791938	4	4778750
20211104 233347	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	319	TRUE	0.0769388209364843	0.349702172529942	3299	713	0.046124040738788	5	5161250
20211104 233421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	245	TRUE	0.0868696545087732	0.312519602611428	2060	213	0.0316294678349359	6	5226250
20211104 233452	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	230	TRUE	0.0846899416751694	0.95427214524243	2866	601	0.0289765927711247	7	5172500
20211104 233546	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	312	TRUE	0.0730772462580353	0.630408691486809	5420	413	0.0334789485576561	8	5350000
20211104 233609	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	170	TRUE	0.0985639136622194	0.243620223802282	2260	1020	0.0385671127178998	9	5540000
20211104 233658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	353	TRUE	0.0344197078992147	0.534330553532345	5829	795	0.0411279321801277	10	5307500
20211104 233759	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	427	TRUE	0.0513272671634331	0.69484128067561	1470	749	0.0376549253931193	11	5776250
20211104 233840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	277	TRUE	0.0368544003763236	0.489423041073314	1028	130	0.0241394893424719	12	4845000
