fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211105 034324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0485679609421641	0.812200082595518	6848	557	0.0303992702501402	1	4660000
20211105 034335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0694525726698339	0.401175229586079	3844	906	0.0422911802364992	2	4833750
20211105 034354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	330	TRUE	0.0280438727512956	0.160725437295332	6456	657	0.0403161691479836	3	4578750
20211105 034410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.0426151562482119	0.566880352397857	4333	491	0.0419564325943779	4	5133750
20211105 034419	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	76	TRUE	0.0769388209364843	0.349702172529942	3299	713	0.042249336781234	5	4890000
20211105 034428	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	84	TRUE	0.0868696545087732	0.312519602611428	2060	213	0.0305499066890948	6	4587500
20211105 034444	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	203	TRUE	0.0846899416751694	0.95427214524243	2866	601	0.0395964617174228	7	5386250
20211105 034454	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0730772462580353	0.630408691486809	5420	413	0.0322738570460194	8	5080000
20211105 034505	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0985639136622194	0.243620223802282	2260	1020	0.0369184805804524	9	5236250
20211105 034521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	200	TRUE	0.0344197078992147	0.534330553532345	5829	795	0.0319223720217921	10	4832500
20211105 034546	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	270	TRUE	0.0513272671634331	0.69484128067561	1470	749	0.0366255763935963	11	5680000
20211105 034611	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	330	TRUE	0.0368544003763236	0.489423041073314	1028	130	0.0296293506732612	12	4925000
