fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211116 132412	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	339	TRUE	0.074537392524071	0.127067943810835	7021	463	0.0391248815807281	1	6468750
20211116 133140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	182	TRUE	0.0520730867306702	0.588151786905655	1992	385	0.0400553187170118	2	5931250
20211116 134139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	197	TRUE	0.0478846578299999	0.659603037458146	4951	520	0.0358260590066315	3	6506250
20211116 134836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	304	TRUE	0.0873277160245925	0.453727160244307	6200	779	0.0331193327919881	4	5956250
20211116 135622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	329	TRUE	0.0442199787730351	0.412343295144092	4132	271	0.037221714711057	5	6200000
20211116 140034	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	219	TRUE	0.0669424262130633	0.355825640322291	3226	880	0.0390402963865205	6	6381250
20211116 142112	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	469	TRUE	0.0298006537440233	0.736825191961543	3706	812	0.0332123765056165	7	6392500
20211116 142938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	277	TRUE	0.0803356550750323	0.537019556315499	7209	111	0.0319605156313439	8	6127500
20211116 143522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	52	TRUE	0.0972348420484923	0.699718897571438	1036	396	0.0371540465556909	9	6210000
20211116 144006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	0.0308066520025022	0.213316616162774	2277	928	0.0440561984030315	10	6290000
