fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211113 155452	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	284	TRUE	0.0526401523919776	0.351129050624149	5249	863	0.0304745884696175	1	5198750
20211113 155508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.077250535186613	0.245070554723497	3371	784	0.0371444352388843	2	5352500
20211113 155515	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.0722266212617979	0.423367289276212	6383	191	0.0395462495711046	3	4643750
20211113 155552	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	497	TRUE	0.0285556920303497	0.782864628868992	3946	383	0.0448017875524089	4	5558750
20211113 155616	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	197	TRUE	0.0608496068930253	0.64008430345857	1220	616	0.0366423137757023	5	5677500
20211113 155634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	0.0849121011851821	0.570531149455928	3108	809	0.0351861615324747	6	4945000
20211113 155648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0698292800423223	0.874666473790421	1749	397	0.0427012460980978	7	5472500
20211113 155732	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	597	TRUE	0.0228807106451131	0.690360517571389	6697	549	0.0302821085753977	8	5127500
20211113 155750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	207	TRUE	0.059097497650655	0.521750443478231	4850	489	0.0405755985706276	9	5290000
20211113 155808	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0885536423430312	0.12294141221937	4322	687	0.0452704342513787	10	5238750
20211113 155824	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0929609138029628	0.732522074271401	615	304	0.0373536525152101	11	5371250
20211113 155841	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	0.0361119149881415	0.297166179706983	7796	151	0.0426259278786205	12	4433750
20211113 155911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	162	TRUE	0.0432119490590412	0.955770508096612	742	1017	0.039906103286385	13	5590000
20211113 155933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	295	TRUE	0.0349120465386659	0.442254470969783	5637	927	0.0302988459575038	14	4875000
20211113 155956	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	364	TRUE	0.0992207377532031	0.933757298640558	7234	647	0.0503585984116224	15	5178750
20211113 160018	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	301	TRUE	0.0498993317654822	0.198805866269686	2246	231	0.033445473793444	16	5055000
20211113 160057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	324	TRUE	0.0359160438733677	0.751865632041769	1164	829	0.0402408509285063	17	5640000
20211113 160118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	139	TRUE	0.0698005139690838	0.9373506545426	1176	617	0.0445088833655528	18	5702500
20211113 160133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0948915233305778	0.995055130040377	1314	1024	0.0449858987555756	19	5531250
20211113 160150	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	200	TRUE	0.0513288409670554	0.999212177678487	1222	101	0.0380231477994527	20	5721250
20211113 160222	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	240	TRUE	0.0504442598170027	0.998440868423604	1018	320	0.0291858100474505	21	5691250
20211113 160251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	230	TRUE	0.0469294369009076	0.999647204884665	1257	419	0.029830199258534	22	5795000
20211113 160337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	327	TRUE	0.0225084802114419	0.998121168897236	1368	430	0.040433330822726	23	5661250
