fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211109 213344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	269	TRUE	0.0645602115627844	0.63986410292564	6725	875	0.029319709104299	1	5721250
20211109 213418	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0797958493034821	0.456949214638735	5420	233	0.0340814943134744	2	5810000
20211109 213508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	279	TRUE	0.0374248144822195	0.284688804911275	1863	643	0.0423246550007113	3	6078750
20211109 213547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	194	TRUE	0.0302461570804007	0.716879156147479	3441	583	0.0356966516867097	4	5818750
20211109 213611	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0.0950774515385274	0.24009763586364	4466	560	0.0355711213209142	5	5587500
20211109 213704	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	218	TRUE	0.0704762228077743	0.954553980292985	1423	735	0.0361485610035734	6	6001250
20211109 213739	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	151	TRUE	0.0416776349721476	0.357269387664564	333	455	0.039914471977438	7	6138750
20211109 213807	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	176	TRUE	0.054768541851081	0.775999088597018	5668	207	0.0415463667327793	8	5695000
20211109 213841	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.0470934370625764	0.496766517739161	6218	764	0.0293531838685111	9	5516250
20211109 213917	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	233	TRUE	0.0570536477002315	0.845860107977933	4850	1007	0.038115203401036	10	6107500
20211109 214041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	174	TRUE	0.0898747351008933	0.422536110643705	2223	105	0.0492288251194631	11	5647500
20211109 214306	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	959	TRUE	0.0287886727566365	0.890805306076072	2716	438	0.0395880930263697	12	5837500
20211109 214338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	277	TRUE	0.0846872135763988	0.17388273474935	7975	957	0.0334371051023909	13	5806250
20211109 214446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	656	TRUE	0.0203197670343798	0.119054606254213	3631	349	0.0364665712635887	14	5553750
20211109 214516	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	218	TRUE	0.0902462668856606	0.747011210091296	7479	317	0.0467851673319776	15	5862500
20211109 214602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0674365962983575	0.553959958789346	703	840	0.0315039374691405	16	6045000
20211109 214709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	213	TRUE	0.0466215498718154	0.604609390852378	1005	754	0.0394458252784682	17	6108750
20211109 214803	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	349	TRUE	0.05864833830636	0.995431238054456	3734	1024	0.0408936088306428	18	5942500
