fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211105 020414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	401	TRUE	0.0485679609421641	0.812200082595518	6848	557	0.0323575439565498	1	5267500
20211105 020427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0694525726698339	0.401175229586079	3844	906	0.0487769158025993	2	5115000
20211105 020500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	348	TRUE	0.0280438727512956	0.160725437295332	6456	657	0.0366423137757023	3	4527500
20211105 020517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	194	TRUE	0.0426151562482119	0.566880352397857	4333	491	0.0419648012854309	4	5082500
20211105 020526	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.0769388209364843	0.349702172529942	3299	713	0.0449858987555756	5	4881250
20211105 020544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	218	TRUE	0.0868696545087732	0.312519602611428	2060	213	0.0320981145339057	6	4856250
20211105 020556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0846899416751694	0.95427214524243	2866	601	0.0358472881256643	7	5096250
20211105 020605	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0730772462580353	0.630408691486809	5420	413	0.0348932573456186	8	5238750
20211105 020618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0985639136622194	0.243620223802282	2260	1020	0.0389855472705514	9	5277500
20211105 020645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.0344197078992147	0.534330553532345	5829	795	0.036039768019884	10	5417500
20211105 020708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	243	TRUE	0.0513272671634331	0.69484128067561	1470	749	0.0374959202631116	11	5800000
20211105 020719	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	0.0368544003763236	0.489423041073314	1028	130	0.0449189492271514	12	4941250
20211105 020727	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.0904848694708198	0.873797504692629	348	249	0.0429523068296888	13	5335000
20211105 020802	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	606	TRUE	0.0225729210360441	0.723101025544747	7367	292	0.0384499510431573	14	5257500
20211105 020812	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0644040121824946	0.909390308032744	7800	946	0.0336379536876637	15	5026250
20211105 020832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	363	TRUE	0.0586509651492815	0.136960567996721	4809	353	0.0370272735641418	16	5270000
20211105 020903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	393	TRUE	0.0312293444437304	0.694985110538629	2404	787	0.0296879315106324	17	4816250
20211105 020919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	189	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0304494823964584	18	4652500
20211105 020939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	280	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0475132434535914	19	5453750
20211105 020953	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.0415296293506733	20	5347500
20211105 021015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	242	TRUE	0.0524366856676864	0.709710193083846	1796	827	0.0275873900563213	21	4780000
20211105 021026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.062278566761408	0.423446070845309	5296	627	0.0459064547714092	22	4893750
20211105 021043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	231	TRUE	0.0291698684212565	0.990747633903171	6196	506	0.0336797971429289	23	4970000
20211105 021103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	254	TRUE	0.0845429159516469	0.265302602361399	2184	862	0.0349351008008837	24	5582500
20211105 021120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0722323446390033	0.951347630601563	2650	667	0.0372950716778389	25	5280000
20211105 021143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	328	TRUE	0.0476338022232428	0.572736529607885	6004	663	0.0429606755207418	26	5333750
