Feature	Gain	Cover	Frequency
ctrx_quarter	0.179791763704194	0.0244986488491072	0.00496916299559471
mcaja_ahorro	0.0620990401851365	0.0196023656111091	0.00543612334801762
mdescubierto_preacordado_delta1	0.0457935958742499	0.00453325014438307	0.00141850220264317
mcuentas_saldo	0.0342068832817244	0.0199406299027651	0.00818502202643172
Visa_status	0.0318404562983387	0.00306167113183494	0.000599118942731278
mtarjeta_visa_consumo	0.0243301395763849	0.0210752066556542	0.00320704845814978
foto_mes	0.0213799671010222	0.0183538504809205	0.0132511013215859
Visa_Finiciomora	0.0174577000144632	0.0122439405792005	0.00291629955947137
mdescubierto_preacordado	0.0163873367006483	0.0046061415044912	0.00225550660792952
mprestamos_personales	0.0153748357025613	0.0162604420703186	0.00795594713656388
ctarjeta_visa_transacciones	0.0151901011948705	0.0214293186796363	0.0040352422907489
mprestamos_personales_delta1	0.0150165376506434	0.011721088853432	0.00642290748898679
cpayroll_trx	0.01490415024971	0.0280263570924016	0.00247577092511013
ctarjeta_visa	0.0121355920900976	0.00365029427857124	0.000634361233480176
mpayroll	0.00934021806776009	0.0220947597336645	0.00319823788546256
ctrx_quarter_delta1	0.00925183590781183	0.0103919860279047	0.00963876651982379
mcuenta_corriente	0.00923830137401909	0.00472525714684758	0.00670484581497797
mrentabilidad	0.00666987590869842	0.00174294226550302	0.0047488986784141
cproductos_delta1	0.00572286883527974	0.0128209679974199	0.00287224669603524
mcaja_ahorro_lag1	0.00537480413485618	0.00391474109055861	0.00429955947136564
mactivos_margen	0.00513632432723392	0.0087146656808774	0.00751541850220264
ccaja_ahorro	0.00489482391369206	0.0087442019425236	0.0033215859030837
mpasivos_margen	0.00430626426385663	0.00292415825588697	0.00431718061674009
mcuenta_corriente_delta1	0.00425055094936441	0.00244636584774972	0.00432599118942731
cproductos	0.00421091547932805	0.00734554019552587	0.00422907488986784
Visa_delinquency	0.00415278023388666	0.0013245993360543	0.000220264317180617
Visa_mpagospesos	0.00408272404517868	0.0021443922716649	0.00318061674008811
mcuentas_saldo_delta1	0.0038555219648729	0.00986203886392609	0.00648458149779736
mrentabilidad_annual	0.00382224640967447	0.0034495205467292	0.00629955947136564
mcuenta_corriente_lag1	0.00376155308620875	0.00293218215451077	0.00509251101321586
mprestamos_personales_lag1	0.00373178040958622	0.00139184448017811	0.00207929515418502
cliente_edad_lag1	0.00368557791305846	0.00704704762422944	0.00797356828193833
Visa_mpagominimo	0.00360851924674416	0.016791952534103	0.00451101321585903
mautoservicio	0.00360042822272447	0.0154844876193589	0.0021057268722467
cliente_edad	0.00355983321583183	0.00532362924497065	0.00734801762114538
Visa_fechaalta	0.00331576730674143	0.00180460135357014	0.00439647577092511
mcuentas_saldo_lag1	0.00327325329053861	0.00164560498512277	0.00445814977973568
mrentabilidad_annual_lag1	0.00323023725781433	0.00315419109235449	0.00637885462555066
mrentabilidad_annual_delta1	0.00309852322800016	0.00239894570162211	0.00666960352422908
numero_de_cliente	0.00305888126785408	0.00822619695333783	0.00713656387665198
Visa_msaldopesos	0.00300391542555215	0.00461218925483044	0.00247577092511013
mcomisiones_mantenimiento	0.00297197292342121	0.00795017407600051	0.00381497797356828
cprestamos_personales_delta1	0.00264626152755011	0.00195699331678362	0.000828193832599119
chomebanking_transacciones	0.00256848982133662	0.00268811395230506	0.00508370044052863
mes	0.0025352967816406	0.00928073462885351	0.00491629955947137
Visa_mpagominimo_lag1	0.00243341098393148	0.00310874046209399	0.0032863436123348
mcaja_ahorro_dolares_delta1	0.00238377904548286	0.00577216301665307	0.00422026431718062
Master_fechaalta_lag1	0.00235933044233902	0.00283464613569252	0.00455506607929515
mactivos_margen_lag1	0.00234780282185903	0.00347143701904504	0.00486343612334802
Visa_Fvencimiento	0.00232121072264056	0.00118655867573467	0.00486343612334802
Master_Fvencimiento_lag1	0.00229418501300146	0.00180458574788204	0.00509251101321586
mcomisiones	0.00228189053461105	0.00118845187978696	0.00311013215859031
Visa_fechaalta_lag1	0.00227586820322676	0.00151875524177068	0.00439647577092511
Master_Fvencimiento	0.00224733011198311	0.000772410555248196	0.00466960352422908
mttarjeta_visa_debitos_automaticos_delta1	0.00219566011255265	0.00345738316056644	0.00459030837004405
ccaja_seguridad	0.00212862121259266	0.0111278834084978	0.00150660792951542
Master_Finiciomora	0.00210566845058557	0.00524176438011761	0.0019647577092511
mpayroll_delta1	0.00208742821944707	0.00922518626007712	0.00355066079295154
Visa_fultimo_cierre_lag1	0.0020761079747998	0.00247651517885307	0.00300440528634361
ccomisiones_mantenimiento_delta1	0.00207003268423568	0.00329120723925012	0.00228193832599119
ctarjeta_master	0.00204884595453336	0.000527624491389723	0.000343612334801762
Visa_Finiciomora_lag1	0.00203227186538486	0.00275007625889204	0.00185903083700441
mcaja_ahorro_delta1	0.00201834203980413	0.00166575130423702	0.00411453744493392
Master_fechaalta	0.00200698301883915	0.00263216576579946	0.00428193832599119
Visa_mfinanciacion_limite	0.00193008804680655	0.00141023110190179	0.00385903083700441
tcallcenter	0.00192488012778731	0.00134314521382508	0.000898678414096916
Visa_Fvencimiento_lag1	0.00191916145123811	0.00129536980420778	0.00459030837004405
mcaja_ahorro_dolares_lag1	0.00190483009718859	0.0043739381508938	0.00360352422907489
Visa_status_lag1	0.00189546207208961	0.000727454313186818	0.000405286343612335
canarito60	0.00189320035211823	0.00106153791902832	0.00454625550660793
mcuenta_debitos_automaticos	0.00189070094836475	0.0115062378545792	0.003215859030837
ctrx_quarter_lag1	0.00189008314309391	0.0013853554009793	0.00376211453744493
Visa_mpagospesos_delta1	0.00187738096963011	0.00318933954958495	0.00387665198237885
ccaja_ahorro_delta1	0.00183320583870668	0.0118049989997679	0.00185022026431718
canarito22	0.00181914183793884	0.000746271495845279	0.00447577092511013
canarito39	0.0018178110518956	0.000794200153319753	0.00472246696035242
Visa_mfinanciacion_limite_lag1	0.00181443667134053	0.00230224435303208	0.0034625550660793
mtransferencias_recibidas	0.00181090671240084	0.00744950224656299	0.00296916299559471
canarito35	0.00177970873079958	0.000441865227070425	0.00444933920704846
cliente_antiguedad	0.00177712566195585	0.00375647631676954	0.0039295154185022
mrentabilidad_lag1	0.00176515277053755	0.00106175749105994	0.00394713656387665
mpasivos_margen_lag1	0.0017614265251221	0.00115796546582058	0.00394713656387665
mpasivos_margen_delta1	0.00174425516710567	0.00137922767148854	0.00378854625550661
canarito50	0.00174318688863576	0.000674252415673692	0.00430837004405286
chomebanking_transacciones_delta1	0.00173692041551109	0.00172739478661603	0.00391189427312775
mpagomiscuentas	0.00173425006329689	0.0124458774810054	0.00213215859030837
Master_mfinanciacion_limite	0.00173299990278945	0.00194424557637086	0.00367400881057269
canarito47	0.00168915805419481	0.0017482798790051	0.00437885462555066
canarito48	0.00168144269087681	0.00059010248794008	0.00423788546255507
Visa_mpagominimo_delta1	0.00167747976912394	0.00277493604201266	0.00290748898678414
chomebanking_transacciones_lag1	0.00167544638990803	0.000933211253354108	0.00376211453744493
canarito64	0.00165716540439228	0.000447270569258875	0.00409691629955947
canarito32	0.00165579637984613	0.000538951646014412	0.0040352422907489
canarito8	0.0016554059762701	0.000616572934129876	0.00407929515418502
canarito36	0.00164253188960357	0.000735355395045239	0.00424669603524229
canarito68	0.00163826180582207	0.000454526355914211	0.0041057268722467
canarito25	0.0016311817842403	0.000655516226536489	0.00419383259911894
mrentabilidad_delta1	0.0016307917852945	0.000847580345819462	0.00373568281938326
canarito31	0.00162708718704919	0.000437725272101857	0.0039647577092511
