fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 222740	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	964333	88.8269503379706	0.107249188990681	964333	2	200	5168	0.0432493953620714	6590000	5690000	4421	0.0369979831454562	6623750	5523750	3
20211127 222850	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	187049	88.8269503379706	0.107249188990681	187049	3	190	4763	0.0398600754855933	6396250	5296250	4638	0.0388139891039642	6652500	5552500	3
20211127 222956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	205151	88.8269503379706	0.107249188990681	205151	4	165	4042	0.0338262492363569	6397500	5297500	4571	0.0382532868034111	6786250	5486250	3
20211127 223110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	813697	88.8269503379706	0.107249188990681	813697	5	232	4503	0.0376842158118049	6621250	5171250	4281	0.0358263663980317	6798750	5448750	3
20211127 223204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	344719	88.8269503379706	0.107249188990681	344719	6	94	4072	0.0340773099679479	6610000	5210000	4122	0.0344957445205995	6747500	5297500	3
20211127 223322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	127217	88.8269503379706	0.107249188990681	127217	7	266	4693	0.039274267111881	6483750	5633750	4404	0.0368557153975547	6795000	5395000	3
20211127 223459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	464371	88.8269503379706	0.107249188990681	464371	8	464	4531	0.0379185391612898	5936250	5486250	4246	0.0355334622111756	6742500	5242500	3
20211127 223556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	645137	88.8269503379706	0.107249188990681	645137	9	111	5385	0.0450654013205794	6468750	5068750	4143	0.0346714870327132	6821250	5121250	3
20211127 223701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	480803	88.8269503379706	0.107249188990681	480803	10	162	5266	0.0440695270852686	6517500	5067500	4293	0.0359267906906681	6783750	5383750	3
20211127 223756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	378821	75.483642690815	0.343145421289228	378821	1	99	5089	0.0425882687688819	6538750	5588750	5089	0.0425882687688819	6538750	5588750	4
