fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211109 232326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.0875261785916518	0.761705789501139	5878	383	0.0374122333525813	1	6162500
20211109 232521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	609	TRUE	0.0515832178574055	0.461301937387907	4033	724	0.0427681956265221	2	6012500
20211109 232617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	315	TRUE	0.0316575823584571	0.829264189099195	2521	654	0.041203250399605	3	6246250
20211109 232707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	424	TRUE	0.0415598503965884	0.15956823410088	7555	744	0.0379980417262936	4	5925000
20211109 232744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	200	TRUE	0.0610481236863416	0.324959283661156	4474	193	0.0471868645025232	5	6352500
20211109 232825	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	242	TRUE	0.0682111557410099	0.909974349183904	3218	217	0.0506766086716377	6	6081250
20211109 232903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	213	TRUE	0.0973006142617669	0.379479232469748	7504	814	0.0433121605449692	7	6281250
20211109 233012	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0455359805037733	0.555455828263075	3049	616	0.044559095511871	8	6295000
20211109 233216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	463	TRUE	0.0222948385425843	0.53110249996098	947	875	0.0473542383235838	9	6577500
20211109 233246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	166	TRUE	0.0372759692010004	0.841389834825532	5520	423	0.0364414651904296	10	6107500
20211109 233316	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	212	TRUE	0.0590527402190492	0.152450958297413	4624	553	0.0395797243353167	11	6438750
20211109 233349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0921342762024142	0.987260616628919	1689	479	0.0441406609592194	12	6557500
20211109 233442	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	200	TRUE	0.0811304930888582	0.408635792965652	1295	973	0.0354288535730126	13	6308750
20211109 233533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	413	TRUE	0.0769930750480853	0.651322053553304	6561	277	0.0331442009155348	14	6500000
20211109 233601	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	152	TRUE	0.0721042964002118	0.241254844820651	565	119	0.0439649184471057	15	6283750
20211109 233727	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	717	TRUE	0.0260930449492298	0.707798040585476	6350	951	0.0400818457984987	16	6463750
20211109 233820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	347	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0412701999280293	17	6236250
20211109 233923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	457	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0397136233921652	18	6318750
20211109 234014	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	390	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.0453875959261212	19	5971250
20211109 234101	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	250	TRUE	0.062278566761408	0.423446070845309	5296	627	0.0476889859657051	20	6027500
20211109 234202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	472	TRUE	0.0291698684212565	0.990747633903171	6196	506	0.0388098047584377	21	6353750
20211109 234315	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	312	TRUE	0.0565340303973305	0.531622928135343	1418	767	0.0306921744369963	22	6666250
20211109 234417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	261	TRUE	0.0558298940648581	0.532444684709261	1810	816	0.035002050329308	23	6572500
20211109 234518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	254	TRUE	0.0544894807253331	0.53136598396137	1753	590	0.027779869950541	24	6351250
20211109 234614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	350	TRUE	0.0845429159516469	0.265302602361399	2184	862	0.0343911358824366	25	6413750
20211109 234645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	152	TRUE	0.0722323446390033	0.951347630601563	2650	667	0.0373536525152101	26	6371250
20211109 234745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	304	TRUE	0.0476338022232428	0.572736529607885	6004	663	0.0448436310076741	27	6002500
