fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211114 221823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	244	TRUE	0.0526401523919776	0.351129050624149	5249	863	0.0272107989589348	1	5686250
20211114 221900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.077250535186613	0.245070554723497	3371	784	0.0396717799369001	2	6125000
20211114 222000	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	279	TRUE	0.0722266212617979	0.423367289276212	6383	191	0.0360899801662022	3	6210000
20211114 222057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	284	TRUE	0.0285556920303497	0.782864628868992	3946	383	0.0324663369402392	4	5901250
20211114 222158	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	196	TRUE	0.0608496068930253	0.64008430345857	1220	616	0.0361067175483083	5	6257500
20211114 222306	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	200	TRUE	0.0849121011851821	0.570531149455928	3108	809	0.034223762061376	6	6238750
20211114 222337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	0.0698292800423223	0.874666473790421	1749	397	0.0343911358824366	7	5913750
20211114 222527	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	806	TRUE	0.0228807106451131	0.690360517571389	6697	549	0.0353619040445884	8	6568750
20211114 222646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	0.059097497650655	0.521750443478231	4850	489	0.0377302436125966	9	6615000
20211114 222725	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	303	TRUE	0.0885536423430312	0.12294141221937	4322	687	0.0371109604746722	10	6457500
20211114 222759	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0929609138029628	0.732522074271401	615	304	0.0406007046437867	11	6836250
20211114 222938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	552	TRUE	0.0361119149881415	0.297166179706983	7796	151	0.0284744713079427	12	5697500
20211114 223041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	0.0432119490590412	0.955770508096612	742	1017	0.0338220648908304	13	6348750
